anime_title;favorite_count
映画 ハイ☆スピード！－Free! Starting Daysー;17488
ツバサ・クロニクル（第1シリーズ）;17465
デュラララ!!×２ 承;17432
ゆるゆり;17410
FAIRY TAIL ファイナルシリーズ;17397
弱虫ペダル ＧＲＡＮＤＥ ＲＯＡＤ（グランロード）;17351
ハイスクールD×D;17326
ブレイブウィッチーズ;17305
ハーモニー;17255
キノの旅-the Beautiful World-;17239
「幽☆遊☆白書」　魔界の扉編/魔界トーナメント編;17193
ドラゴンボール;17182
ニセコイ:;17171
戦姫絶唱シンフォギアAXZ;17145
あっくんとカノジョ;17143
神様はじめました◎;17074
バジリスク ～桜花忍法帖～;17065
「俺の妹がこんなに可愛いわけがない。」TV未放送 第14話～最終回第16話;17008
俺の妹がこんなに可愛いわけがない TRUEROUTE;16983
シティーハンター;16968
劇場版 Free!-Timeless Medley- 約束;16861
OVA東京喰種トーキョーグール【JACK】;16857
すべてがFになる　THE　PERFECT　INSIDER;16838
潔癖男子！青山くん;16817
AIR;16778
会長はメイド様！;16696
クズの本懐;16681
フルメタル・パニック? ふもっふ;16677
To LOVEる-とらぶる-ダークネス;16652
ねじ巻き精霊戦記 天鏡のアルデラミン;16652
TVアニメ｢Rewrite｣;16636
銀河英雄伝説　本伝・第1期;16585
銀の匙 Silver Spoon（第2期）;16555
アマガミSS;16514
瀬戸の花嫁;16503
ミュージカル『刀剣乱舞』 ～幕末天狼傳～ 大千秋楽;16469
遊☆戯☆王 デュエルモンスターズ;16457
名探偵コナン（第1シーズン）;16409
TRICKSTER -江戸川乱歩「少年探偵団」より-;16403
今日からマ王！　第１シリーズ;16402
おおきく振りかぶって;16397
聖剣の刀鍛冶;16379
"ROBOTICS;NOTES";16373
ワンピース イーストブルー編;16346
つぐもも;16287
School Days;16279
これはゾンビですか？;16259
キングダム 第2シリーズ;16258
風夏;16187
ミュージカル『刀剣乱舞』 ～阿津賀志山異聞～ 大千秋楽;16184
RAVE;16184
亜人ちゃんは語りたい;16181
ミュージカル『刀剣乱舞』 ～真剣乱舞祭2016～;16180
神様のメモ帳;16147
東京マグニチュード８．０;16118
世界一初恋;16092
Code：Realize ～創世の姫君～;16073
シドニアの騎士;16062
覆面系ノイズ;16057
夜は短し歩けよ乙女;16044
魔法戦争;16025
マンガ家さんとアシスタントさんと;16010
OVA東京喰種トーキョーグール【PINTO】;15988
戦姫絶唱シンフォギアＧＸ;15965
グリザイアの楽園;15928
ダイヤのA（第1話～第51話）;15891
ARIA The ANIMATION;15866
薄桜鬼;15805
いなり、こんこん、恋いろは。;15791
お兄ちゃんだけど愛さえあれば関係ないよねっ;15773
ダンガンロンパ　The Animation;15764
ヤマノススメ セカンドシーズン;15753
ハンドシェイカー;15738
狼と香辛料II;15709
境界線上のホライゾンII;15619
IS＜インフィニット・ストラトス＞2 OVA ワールド・パージ編;15607
家庭教師ヒットマンREBORN！;15597
アブソリュート・デュオ;15577
うたわれるもの;15519
くまみこ;15471
三者三葉;15469
戦刻ナイトブラッド;15453
こちら葛飾区亀有公園前派出所;15451
うさぎドロップ;15447
銀の墓守り;15446
あの夏で待ってる;15439
ルパン三世 PART4;15431
魔法少女リリカルなのは;15430
モノノ怪;15429
黒執事II;15414
機動戦艦ナデシコ;15393
新妹魔王の契約者 BURST;15375
PERSONA -trinity soul-;15367
ツキウタ。 THE ANIMATION;15358
SERVAMP-サーヴァンプ-;15319
異世界の聖機師物語;15301
鹿楓堂よついろ日和;15292
咲-Saki-;15277
DEATH NOTE -デスノート-;15263
COPPELION;15257
タブー・タトゥー;15235
六畳間の侵略者!?;15222
メイドインアビス;15216
雲のむこう、約束の場所;15204
幸腹グラフィティ;15196
俺の脳内選択肢が、学園ラブコメを全力で邪魔している;15191
ひぐらしのなく頃に解;15171
夜桜四重奏 -ハナノウタ-;15158
あまんちゅ！;15152
アイシールド21;15123
創聖のアクエリオン;15065
戦姫絶唱 シンフォギアG;15027
うたわれるもの　偽りの仮面;15024
デート・ア・ライブII;15022
劇場版 花咲くいろは HOME SWEET HOME;15017
地獄先生ぬ～べ～;15006
緋弾のアリアAA;14980
カオスヘッド;14867
それでも世界は美しい【日テレオンデマンド】;14851
アニメで分かる心療内科;14842
宇宙戦艦ティラミス;14828
SUPER LOVERS;14819
